duration,protocol_type,service,flag,src_bytes,dst_bytes,logged_in,count,same_srv_rate,serror_rate,srv_serror_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_srv_count,label
0,tcp,ftp_data,SF,491,0,0,2,1.0,0.0,0.0,0.03,0.17,0.0,25,Normal
0,udp,other,SF,146,0,0,13,0.08,0.0,0.0,0.6,0.88,0.0,1,Normal
0,tcp,private,S0,0,0,0,123,0.05,1.0,1.0,0.05,0.0,0.0,26,DoS
0,tcp,http,SF,232,8153,1,5,1.0,0.2,0.2,0.0,0.03,0.04,255,Normal
0,tcp,http,SF,199,420,1,30,1.0,0.0,0.0,0.0,0.0,0.0,255,Normal
0,tcp,private,REJ,0,0,0,121,0.16,0.0,0.0,0.07,0.0,0.0,19,DoS
0,tcp,private,S0,0,0,0,166,0.05,1.0,1.0,0.05,0.0,0.0,9,DoS
0,tcp,private,S0,0,0,0,117,0.14,1.0,1.0,0.07,0.0,0.0,15,DoS
0,tcp,remote_job,S0,0,0,0,270,0.09,1.0,1.0,0.05,0.0,0.0,23,DoS
0,tcp,private,S0,0,0,0,133,0.06,1.0,1.0,0.06,0.0,0.0,13,DoS
0,tcp,private,REJ,0,0,0,205,0.06,0.0,0.0,0.07,0.0,0.0,12,DoS
0,tcp,private,S0,0,0,0,199,0.02,1.0,1.0,0.07,0.0,0.0,13,DoS
0,tcp,http,SF,287,2251,1,3,1.0,0.0,0.0,0.0,0.12,0.03,219,Normal
0,tcp,ftp_data,SF,334,0,1,2,1.0,0.0,0.0,0.0,1.0,0.2,20,R2L
0,tcp,name,S0,0,0,0,233,0.0,1.0,1.0,0.07,0.0,0.0,1,DoS
0,tcp,netbios_ns,S0,0,0,0,96,0.17,1.0,1.0,0.06,0.0,0.0,2,DoS
0,tcp,http,SF,300,13788,1,8,1.0,0.0,0.11,0.0,0.01,0.02,255,Normal
